"Source:","C:\Users\sylvain\Documents\dev\trublion\bab_v1\pr001_instrubab\cad\bab_top.sch"
"Date:","24/11/2019 16:24:37"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C101","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C102","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C103","220n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C104","220n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C105","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C106","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C107","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C201","1u","Device:C","Capacitors_SMD:C_2220_HandSoldering",""
"","","C202","100p","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C203","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C204","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C205","100p","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C206","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C207","6.8u","Device:C","Capacitors_SMD:CP_Elec_5x5.7",""
"","","C208","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C209","10u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C303","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C304","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C305","10n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C306","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C307","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","D101","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D102","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02",""
"","","D201","BAS21","bab:BAS21","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"","","D202","BAS21","bab:BAS21","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"","","D203","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","D301","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D302","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D303","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D402","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","L301","100u","bab_top-rescue:INDUCTOR","Choke_SMD:Choke_SMD_7.3x7.3_H3.5",""
"","","P101","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","P102","CONN_01X02","bab_top-rescue:CONN_01X02","Connect:bornier2",""
"","","P103","Nulceo_F303K8_CONN","bab:Nulceo_F303K8_CONN","bab_footprint:Nucleo_F303K8_CONN",""
"","","P104","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","P105","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","P106","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","P107","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","P110","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","Q101","J201","bab_top-rescue:J201","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"","","Q102","DTC114Y","Transistor_BJT:DTC114Y","TO_SOT_Packages_SMD:SOT-23",""
"","","Q103","DTC114Y","Transistor_BJT:DTC114Y","TO_SOT_Packages_SMD:SOT-23",""
"","","R1","1k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R101","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R102","1M","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R103","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R104","4.7k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R105","1k","Device:R","Capacitors_SMD:C_1206_HandSoldering",""
"","","R106","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R107","1M","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R108","10k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R109","100k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R110","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R111","1k","Device:R","Capacitors_SMD:C_1206_HandSoldering",""
"","","R112","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R113","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R201","1k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R202","1M","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R203","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R204","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R205","2k2","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R206","100","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R207","75k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R208","4.7k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R209","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R210","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R211","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R212","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R213","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R214","10k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R215","1k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R216","0","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R217","100","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R218","470k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"","","R301","47k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","R302","10k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"","","RV101","10k","bab_top-rescue:POT-RESCUE-bab_top","flax_lib:ALPS_RK09L",""
"","","RV102","10k","bab_top-rescue:POT-RESCUE-bab_top","flax_lib:ALPS_RK09L",""
"","","RV103","10k","bab_top-rescue:POT-RESCUE-bab_top","flax_lib:ALPS_RK09L",""
"","","RV201","RK09L_stereo","bab_top-rescue:RK09L_stereo","flax_lib:ALPS_RK09L_stereo",""
"","","RV205","100k","bab_top-rescue:POT-RESCUE-bab_top","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"","","U201","LM833","bab:LM833","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U202","LM358","bab_top-rescue:LM358-RESCUE-bab_top","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U301","LM2674","bab:LM2674","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","7","C101, C102, C106, C107, C208, C304, C307","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"2","2","C103, C104","220n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"3","3","C105, C303, C306","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"4","1","C201","1u","Device:C","Capacitors_SMD:C_2220_HandSoldering",""
"5","2","C202, C205","100p","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"6","3","C203, C204, C206","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"7","1","C207","6.8u","Device:C","Capacitors_SMD:CP_Elec_5x5.7",""
"8","1","C209","10u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"9","1","C305","10n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"10","4","D101, D301, D302, D303","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"11","1","D102","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02",""
"12","2","D201, D202","BAS21","bab:BAS21","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"13","2","D203, D402","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"14","1","L301","100u","bab_top-rescue:INDUCTOR","Choke_SMD:Choke_SMD_7.3x7.3_H3.5",""
"15","6","P101, P104, P105, P106, P107, P110","CONN_01X02","bab_top-rescue:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"16","1","P102","CONN_01X02","bab_top-rescue:CONN_01X02","Connect:bornier2",""
"17","1","P103","Nulceo_F303K8_CONN","bab:Nulceo_F303K8_CONN","bab_footprint:Nucleo_F303K8_CONN",""
"18","1","Q101","J201","bab_top-rescue:J201","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"19","2","Q102, Q103","DTC114Y","Transistor_BJT:DTC114Y","TO_SOT_Packages_SMD:SOT-23",""
"20","1","R1","1k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"21","5","R101, R106, R110, R112, R113","330","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"22","3","R102, R107, R202","1M","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"23","8","R103, R203, R204, R209, R210, R211, R212, R213","33k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"24","2","R104, R208","4.7k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"25","2","R105, R111","1k","Device:R","Capacitors_SMD:C_1206_HandSoldering",""
"26","2","R108, R214","10k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"27","1","R109","100k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"28","2","R201, R215","1k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"29","1","R205","2k2","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"30","2","R206, R217","100","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"31","1","R207","75k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"32","1","R216","0","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"33","1","R218","470k","Device:R","Capacitors_SMD:C_0805_HandSoldering",""
"34","1","R301","47k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"35","1","R302","10k","Device:R","Resistors_SMD:R_0805_HandSoldering",""
"36","3","RV101, RV102, RV103","10k","bab_top-rescue:POT-RESCUE-bab_top","flax_lib:ALPS_RK09L",""
"37","1","RV201","RK09L_stereo","bab_top-rescue:RK09L_stereo","flax_lib:ALPS_RK09L_stereo",""
"38","1","RV205","100k","bab_top-rescue:POT-RESCUE-bab_top","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"39","1","U201","LM833","bab:LM833","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"40","1","U202","LM358","bab_top-rescue:LM358-RESCUE-bab_top","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"41","1","U301","LM2674","bab:LM2674","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
